cc_capital-city,cc_street-code,cc_Box-Code,area,area-href,area_list,area_list-href,suburblist,suburblist-href,s_location,s_streetcode,s_boxcode,s_area,s_municipality,s_province,s_capitalcity,s_country
"Bhisho","5605","5605","Cacadu","http://postalcodez.co.za/postalcodes/ec/cacadu","Grahamstown","http://postalcodez.co.za/postalcodes/ec/cacadu/grahamstown","Kwavukile","http://kwavukile.postalcodez.co.za/postalcode/ec/cacadu/grahamstown/kwavukile","Location: Kwavukile","-------","6143","Grahamstown","Cacadu","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","OR Thambo","http://postalcodez.co.za/postalcodes/ec/or-thambo","Mthatha","http://postalcodez.co.za/postalcodes/ec/or-thambo/mthatha","Mbuqe Uit","http://mbuqe-uit.postalcodez.co.za/postalcode/ec/or-thambo/mthatha/mbuqe-uit","Location: Mbuqe Park Uit","5100","-------","Mthatha","OR Thambo","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Chris Hani","http://postalcodez.co.za/postalcodes/ec/chris-hani","Cofimvaba","http://postalcodez.co.za/postalcodes/ec/chris-hani/cofimvaba","Upper Tsojana","http://upper-tsojana.postalcodez.co.za/postalcode/ec/chris-hani/cofimvaba/upper-tsojana","Location: Upper Tsojana","-------","5380","Cofimvaba","Chris Hani","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Port Elizabeth","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/port-elizabeth","Hillside","http://hillside.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/port-elizabeth/hillside","Location: Hillside","6059","-------","Port Elizabeth","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Saltville","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/saltville","Kleinskool Ext 32","http://kleinskool-ext-32.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/saltville/kleinskool-ext-32","Location: Kleinskool Ext 32","6059","-------","Saltville","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Port Elizabeth","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/port-elizabeth","Taybank","http://taybank.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/port-elizabeth/taybank","Location: Taybank","6025","-------","Port Elizabeth","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Port Elizabeth","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/port-elizabeth","Sanctor","http://sanctor.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/port-elizabeth/sanctor","Location: Sanctor","6059","-------","Port Elizabeth","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","OR Thambo","http://postalcodez.co.za/postalcodes/ec/or-thambo","Libode","http://postalcodez.co.za/postalcodes/ec/or-thambo/libode","Double Falls","http://double-falls.postalcodez.co.za/postalcode/ec/or-thambo/libode/double-falls","Location: Double Falls","-------","5160","Libode","OR Thambo","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Kwanobuhle","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/kwanobuhle","Kwanobuhle Uit","http://kwanobuhle-uit.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/kwanobuhle/kwanobuhle-uit","Location: Kwanobuhle Uit","6242","-------","Kwanobuhle","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","OR Thambo","http://postalcodez.co.za/postalcodes/ec/or-thambo","Mthatha","http://postalcodez.co.za/postalcodes/ec/or-thambo/mthatha","Fort Gale","http://fort-gale.postalcodez.co.za/postalcode/ec/or-thambo/mthatha/fort-gale","Location: Fort Gale","5100","-------","Mthatha","OR Thambo","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Ukhahlamba","http://postalcodez.co.za/postalcodes/ec/ukhahlamba","Mount Fletcher","http://postalcodez.co.za/postalcodes/ec/ukhahlamba/mount-fletcher","Zincuka","http://zincuka.postalcodez.co.za/postalcode/ec/ukhahlamba/mount-fletcher/zincuka","Location: Zincuka","-------","4777","Mount Fletcher","Ukhahlamba","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","OR Thambo","http://postalcodez.co.za/postalcodes/ec/or-thambo","Mount Ayliff","http://postalcodez.co.za/postalcodes/ec/or-thambo/mount-ayliff","Mzimvubu","http://mzimvubu.postalcodez.co.za/postalcode/ec/or-thambo/mount-ayliff/mzimvubu","Location: Mzimvubu","-------","4738","Mount Ayliff","OR Thambo","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Kwanobuhle","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/kwanobuhle","Kwanobuhle Ext 9","http://kwanobuhle-ext-9.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/kwanobuhle/kwanobuhle-ext-9","Location: Kwanobuhle Ext 9","6242","-------","Kwanobuhle","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Cacadu","http://postalcodez.co.za/postalcodes/ec/cacadu","Willowmore","http://postalcodez.co.za/postalcodes/ec/cacadu/willowmore","Lulet","http://lulet.postalcodez.co.za/postalcode/ec/cacadu/willowmore/lulet","Location: Lulet","-------","6452","Willowmore","Cacadu","Eastern Cape","EC Capital City:Bhisho","South Africa"
