cc_capital-city,cc_street-code,cc_Box-Code,area,area-href,area_list,area_list-href,suburblist,suburblist-href,s_location,s_streetcode,s_boxcode,s_area,s_municipality,s_province,s_capitalcity,s_country
"Bloemfontein","9301","9300","Thabo Mofutsanyane","http://postalcodez.co.za/postalcodes/fs/thabo-mofutsanyane","Bethlehem","http://postalcodez.co.za/postalcodes/fs/thabo-mofutsanyane/bethlehem","Egipte","http://egipte.postalcodez.co.za/postalcode/fs/thabo-mofutsanyane/bethlehem/egipte","Location: Egipte","9702","9700","Bethlehem","Thabo Mofutsanyane","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Northern Free State","http://postalcodez.co.za/postalcodes/fs/northern-free-state","Sasolburg","http://postalcodez.co.za/postalcodes/fs/northern-free-state/sasolburg","Industrial Area","http://industrial-area.postalcodez.co.za/postalcode/fs/northern-free-state/sasolburg/industrial-area","Location: Industrial Area","-------","1947","Sasolburg","Northern Free State","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Northern Free State","http://postalcodez.co.za/postalcodes/fs/northern-free-state","Kroonstad","http://postalcodez.co.za/postalcodes/fs/northern-free-state/kroonstad","Wilgenhof","http://wilgenhof.postalcodez.co.za/postalcode/fs/northern-free-state/kroonstad/wilgenhof","Location: Wilgenhof","9499","-------","Kroonstad","Northern Free State","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Motheo","http://postalcodez.co.za/postalcodes/fs/motheo","Tweespruit","http://postalcodez.co.za/postalcodes/fs/motheo/tweespruit","Tweespruit","http://tweespruit.postalcodez.co.za/postalcode/fs/motheo/tweespruit/tweespruit","Location: Tweespruit","9770","9770","Tweespruit","Motheo","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Northern Free State","http://postalcodez.co.za/postalcodes/fs/northern-free-state","Parys","http://postalcodez.co.za/postalcodes/fs/northern-free-state/parys","Tumahole","http://tumahole.postalcodez.co.za/postalcode/fs/northern-free-state/parys/tumahole","Location: Tumahole","9585","-------","Parys","Northern Free State","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Thabo Mofutsanyane","http://postalcodez.co.za/postalcodes/fs/thabo-mofutsanyane","Diqhobong","http://postalcodez.co.za/postalcodes/fs/thabo-mofutsanyane/diqhobong","Diqhobong","http://diqhobong.postalcodez.co.za/postalcode/fs/thabo-mofutsanyane/diqhobong/diqhobong","Location: Diqhobong","-------","9876","Diqhobong","Thabo Mofutsanyane","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Motheo","http://postalcodez.co.za/postalcodes/fs/motheo","Bloemfontein","http://postalcodez.co.za/postalcodes/fs/motheo/bloemfontein","Ikgomotseng","http://ikgomotseng.postalcodez.co.za/postalcode/fs/motheo/bloemfontein/ikgomotseng","Location: Ikgomotseng","9358","9358","Bloemfontein","Motheo","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Thabo Mofutsanyane","http://postalcodez.co.za/postalcodes/fs/thabo-mofutsanyane","Kestell","http://postalcodez.co.za/postalcodes/fs/thabo-mofutsanyane/kestell","Thlolong","http://thlolong.postalcodez.co.za/postalcode/fs/thabo-mofutsanyane/kestell/thlolong","Location: Thlolong","-------","9860","Kestell","Thabo Mofutsanyane","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Lejweleputswa","http://postalcodez.co.za/postalcodes/fs/lejweleputswa","Welkom","http://postalcodez.co.za/postalcodes/fs/lejweleputswa/welkom","Waterskag","http://waterskag.postalcodez.co.za/postalcode/fs/lejweleputswa/welkom/waterskag","Location: Waterskag","9459","-------","Welkom","Lejweleputswa","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Thabo Mofutsanyane","http://postalcodez.co.za/postalcodes/fs/thabo-mofutsanyane","Witsieshoek","http://postalcodez.co.za/postalcodes/fs/thabo-mofutsanyane/witsieshoek","Boiketlo","http://boiketlo.postalcodez.co.za/postalcode/fs/thabo-mofutsanyane/witsieshoek/boiketlo","Location: Boiketlo","-------","9869","Witsieshoek","Thabo Mofutsanyane","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Motheo","http://postalcodez.co.za/postalcodes/fs/motheo","Excelsior","http://postalcodez.co.za/postalcodes/fs/motheo/excelsior","Mahlatsoetsa","http://mahlatsoetsa.postalcodez.co.za/postalcode/fs/motheo/excelsior/mahlatsoetsa","Location: Mahlatsoetsa","9760","9760","Excelsior","Motheo","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Xhariep","http://postalcodez.co.za/postalcodes/fs/xhariep","Edenburg","http://postalcodez.co.za/postalcodes/fs/xhariep/edenburg","Hara Sebei","http://hara-sebei.postalcodez.co.za/postalcode/fs/xhariep/edenburg/hara-sebei","Location: Hara Sebei","9908","9908","Edenburg","Xhariep","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Thabo Mofutsanyane","http://postalcodez.co.za/postalcodes/fs/thabo-mofutsanyane","Bethlehem","http://postalcodez.co.za/postalcodes/fs/thabo-mofutsanyane/bethlehem","Staffords Hill","http://staffords-hill.postalcodez.co.za/postalcode/fs/thabo-mofutsanyane/bethlehem/staffords-hill","Location: Staffords Hill","9701","-------","Bethlehem","Thabo Mofutsanyane","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Lejweleputswa","http://postalcodez.co.za/postalcodes/fs/lejweleputswa","Welkom","http://postalcodez.co.za/postalcodes/fs/lejweleputswa/welkom","Geduldpan","http://geduldpan.postalcodez.co.za/postalcode/fs/lejweleputswa/welkom/geduldpan","Location: Geduldpan","-------","9468","Welkom","Lejweleputswa","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Lejweleputswa","http://postalcodez.co.za/postalcodes/fs/lejweleputswa","Ventersburg","http://postalcodez.co.za/postalcodes/fs/lejweleputswa/ventersburg","Ventersburg","http://ventersburg.postalcodez.co.za/postalcode/fs/lejweleputswa/ventersburg/ventersburg","Location: Ventersburg","9450","9450","Ventersburg","Lejweleputswa","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Thabo Mofutsanyane","http://postalcodez.co.za/postalcodes/fs/thabo-mofutsanyane","Bethlehem","http://postalcodez.co.za/postalcodes/fs/thabo-mofutsanyane/bethlehem","Bethlehem West","http://bethlehem-west.postalcodez.co.za/postalcode/fs/thabo-mofutsanyane/bethlehem/bethlehem-west","Location: Bethlehem West","9701","-------","Bethlehem","Thabo Mofutsanyane","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Motheo","http://postalcodez.co.za/postalcodes/fs/motheo","Bloemfontein","http://postalcodez.co.za/postalcodes/fs/motheo/bloemfontein","Tempe","http://tempe.postalcodez.co.za/postalcode/fs/motheo/bloemfontein/tempe","Location: Tempe","9300","9300","Bloemfontein","Motheo","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Motheo","http://postalcodez.co.za/postalcodes/fs/motheo","Bloemfontein","http://postalcodez.co.za/postalcodes/fs/motheo/bloemfontein","Mafora","http://mafora.postalcodez.co.za/postalcode/fs/motheo/bloemfontein/mafora","Location: Mafora","9323","9301","Bloemfontein","Motheo","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Thabo Mofutsanyane","http://postalcodez.co.za/postalcodes/fs/thabo-mofutsanyane","Bethlehem","http://postalcodez.co.za/postalcodes/fs/thabo-mofutsanyane/bethlehem","Loss Section","http://loss-section.postalcodez.co.za/postalcode/fs/thabo-mofutsanyane/bethlehem/loss-section","Location: Loss Section","9701","-------","Bethlehem","Thabo Mofutsanyane","Free State","FS Capital City:Bloemfontein","South Africa"
"Bloemfontein","9301","9300","Lejweleputswa","http://postalcodez.co.za/postalcodes/fs/lejweleputswa","Winburg","http://postalcodez.co.za/postalcodes/fs/lejweleputswa/winburg","Winburg","http://winburg.postalcodez.co.za/postalcode/fs/lejweleputswa/winburg/winburg","Location: Winburg","9420","9420","Winburg","Lejweleputswa","Free State","FS Capital City:Bloemfontein","South Africa"
