cc_capital-city;cc_street-code;cc_Box-Code;area;area-href;area_list;area_list-href;suburblist;suburblist-href;s_location;s_streetcode;s_boxcode;s_area;s_municipality;s_province;s_capitalcity;s_country
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Mabopane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/mabopane;Morula View Phase 3;http://morula-view-phase-3.postalcodez.co.za/postalcode/gp/city-of-tshwane/mabopane/morula-view-phase-3;Location: Morula View Phase 3;190;196;Mabopane;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Rosslyn;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/rosslyn;The Orchards Ext 11;http://the-orchards-ext-11.postalcodez.co.za/postalcode/gp/city-of-tshwane/rosslyn/the-orchards-ext-11;Location: The Orchards Ext 11;182;200;Rosslyn;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Rosslyn;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/rosslyn;The Orchards Uit 46;http://the-orchards-uit-46.postalcodez.co.za/postalcode/gp/city-of-tshwane/rosslyn/the-orchards-uit-46;Location: The Orchards Uit 46;182;-------;Rosslyn;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria North;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria-north;Dorandia Ext 2;http://dorandia-ext-2.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria-north/dorandia-ext-2;Location: Dorandia Ext 2;182;-------;Pretoria North;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Soshanguve;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/soshanguve;Soshanguve Blok Ff;http://soshanguve-blok-ff.postalcodez.co.za/postalcode/gp/city-of-tshwane/soshanguve/soshanguve-blok-ff;Location: Soshanguve Blok Ff;152;-------;Soshanguve;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Centurion;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/centurion;Pierre Van Ryneveldpark Ext 4;http://pierre-van-ryneveldpark-ext-4.postalcodez.co.za/postalcode/gp/city-of-tshwane/centurion/pierre-van-ryneveldpark-ext-4;Location: Pierre Van Ryneveldpark Ext 4;157;-------;Centurion;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Mamelodi;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/mamelodi;Mamelodi East Ext 6;http://mamelodi-east-ext-6.postalcodez.co.za/postalcode/gp/city-of-tshwane/mamelodi/mamelodi-east-ext-6;Location: Mamelodi East Ext 6;122;-------;Mamelodi;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Centurion;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/centurion;Highveld Park;http://highveld-park.postalcodez.co.za/postalcode/gp/city-of-tshwane/centurion/highveld-park;Location: Highveld Park;157;67;Centurion;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Menlo Park;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/menlo-park;Menlo Park;http://menlo-park.postalcodez.co.za/postalcode/gp/city-of-tshwane/menlo-park/menlo-park;Location: Menlo Park;81;-------;Menlo Park;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Karenpark;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/karenpark;Amandasig Uit 7;http://amandasig-uit-7.postalcodez.co.za/postalcode/gp/city-of-tshwane/karenpark/amandasig-uit-7;Location: Amandasig Uit 7;182;-------;Karenpark;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Faerie Glen;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/faerie-glen;Faerie Glen Uit 9;http://faerie-glen-uit-9.postalcodez.co.za/postalcode/gp/city-of-tshwane/faerie-glen/faerie-glen-uit-9;Location: Faerie Glen Uit 9;81;43;Faerie Glen;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Centurion;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/centurion;Highveld Uit 10;http://highveld-uit-10.postalcodez.co.za/postalcode/gp/city-of-tshwane/centurion/highveld-uit-10;Location: Highveld Uit 10;157;-------;Centurion;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Laudium;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/laudium;Laudium Uit 3;http://laudium-uit-3.postalcodez.co.za/postalcode/gp/city-of-tshwane/laudium/laudium-uit-3;Location: Laudium Uit 3;37;-------;Laudium;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Tembisa;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/tembisa;Sedibeng Section;http://sedibeng-section.postalcodez.co.za/postalcode/gp/city-of-tshwane/tembisa/sedibeng-section;Location: Sedibeng Section;1632;1635;Tembisa;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria;Eastwood;http://eastwood.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria/eastwood;Location: Eastwood;83;-------;Pretoria;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Rosslyn;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/rosslyn;The Orchards Ext 31;http://the-orchards-ext-31.postalcodez.co.za/postalcode/gp/city-of-tshwane/rosslyn/the-orchards-ext-31;Location: The Orchards Ext 31;182;201;Rosslyn;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Glenstantia;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/glenstantia;Constantiapark;http://constantiapark.postalcodez.co.za/postalcode/gp/city-of-tshwane/glenstantia/constantiapark;Location: Constantiapark;181;10;Glenstantia;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria;Pretorius Park Ext 14;http://pretorius-park-ext-14.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria/pretorius-park-ext-14;Location: Pretorius Park Ext 14;81;-------;Pretoria;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Hercules;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/hercules;Kameeldrif-wes;http://kameeldrif-wes.postalcodez.co.za/postalcode/gp/city-of-tshwane/hercules/kameeldrif-wes;Location: Kameeldrif-wes;-------;68;Hercules;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Centurion;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/centurion;Swartkop Ext 8;http://swartkop-ext-8.postalcodez.co.za/postalcode/gp/city-of-tshwane/centurion/swartkop-ext-8;Location: Swartkop Ext 8;157;51;Centurion;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Ga-Rankuwa;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/ga-rankuwa;Ga-Rankuwa Sone 1;http://ga-rankuwa-sone-1.postalcodez.co.za/postalcode/gp/city-of-tshwane/ga-rankuwa/ga-rankuwa-sone-1;Location: Ga-Rankuwa Sone 1;208;-------;Ga-Rankuwa;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria;Pretoria-Noord;http://pretoria-noord.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria/pretoria-noord;Location: Pretoria-Noord;182;116;Pretoria;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria;Die Wilgers Uit 17;http://die-wilgers-uit-17.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria/die-wilgers-uit-17;Location: Die Wilgers Uit 17;81;41;Pretoria;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria;Marabastad;http://marabastad.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria/marabastad;Location: Marabastad;2;-------;Pretoria;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria;Silver Lakes Uit 1;http://silver-lakes-uit-1.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria/silver-lakes-uit-1;Location: Silver Lakes Uit 1;81;54;Pretoria;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Philip Nel Park;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/philip-nel-park;Philip Nel Park;http://philip-nel-park.postalcodez.co.za/postalcode/gp/city-of-tshwane/philip-nel-park/philip-nel-park;Location: Philip Nel Park;183;-------;Philip Nel Park;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria;Boordfontein;http://boordfontein.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria/boordfontein;Location: Boordfontein;182;201;Pretoria;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Atteridgeville;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/atteridgeville;Atteridgeville Uit 2;http://atteridgeville-uit-2.postalcodez.co.za/postalcode/gp/city-of-tshwane/atteridgeville/atteridgeville-uit-2;Location: Atteridgeville Uit 2;8;-------;Atteridgeville;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Centurion;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/centurion;Die Hoewes Uit 88;http://die-hoewes-uit-88.postalcodez.co.za/postalcode/gp/city-of-tshwane/centurion/die-hoewes-uit-88;Location: Die Hoewes Uit 88;157;-------;Centurion;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Waterkloof;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/waterkloof;Waterkloofhoogtes;http://waterkloofhoogtes.postalcodez.co.za/postalcode/gp/city-of-tshwane/waterkloof/waterkloofhoogtes;Location: Waterkloofhoogtes;-------;181;Waterkloof;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Mamelodi;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/mamelodi;Mamelodi Ext;http://mamelodi-ext.postalcodez.co.za/postalcode/gp/city-of-tshwane/mamelodi/mamelodi-ext;Location: Mamelodi Ext;122;-------;Mamelodi;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria;Mamelodi Section N;http://mamelodi-section-n.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria/mamelodi-section-n;Location: Mamelodi Section N;122;101;Pretoria;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Silverton;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/silverton;Silverton Ext 3;http://silverton-ext-3.postalcodez.co.za/postalcode/gp/city-of-tshwane/silverton/silverton-ext-3;Location: Silverton Ext 3;184;-------;Silverton;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Mamelodi;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/mamelodi;Mahube Valley Ext 29;http://mahube-valley-ext-29.postalcodez.co.za/postalcode/gp/city-of-tshwane/mamelodi/mahube-valley-ext-29;Location: Mahube Valley Ext 29;122;-------;Mamelodi;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Soshanguve;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/soshanguve;Soshanguve Block T;http://soshanguve-block-t.postalcodez.co.za/postalcode/gp/city-of-tshwane/soshanguve/soshanguve-block-t;Location: Soshanguve Block F East;152;164;Soshanguve;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria;Uif;http://uif.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria/uif;Location: Uif;-------;52;Pretoria;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Lyttelton South;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/lyttelton-south;Lyttelton South;http://lyttelton-south.postalcodez.co.za/postalcode/gp/city-of-tshwane/lyttelton-south/lyttelton-south;Location: Lyttelton South;-------;176;Lyttelton South;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Mamelodi;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/mamelodi;Mamelodi East Ext 10;http://mamelodi-east-ext-10.postalcodez.co.za/postalcode/gp/city-of-tshwane/mamelodi/mamelodi-east-ext-10;Location: Mamelodi East Ext 10;122;-------;Mamelodi;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria;Irene Uit 39;http://irene-uit-39.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria/irene-uit-39;Location: Irene Uit 39;157;-------;Pretoria;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Magalieskruin;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/magalieskruin;Magalieskruin Uit 1;http://magalieskruin-uit-1.postalcodez.co.za/postalcode/gp/city-of-tshwane/magalieskruin/magalieskruin-uit-1;Location: Magalieskruin Uit 1;182;150;Magalieskruin;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Rosslyn;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/rosslyn;The Orchards Uit 85;http://the-orchards-uit-85.postalcodez.co.za/postalcode/gp/city-of-tshwane/rosslyn/the-orchards-uit-85;Location: The Orchards Uit 85;182;200;Rosslyn;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Mamelodi;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/mamelodi;Khutsong Uit 2;http://khutsong-uit-2.postalcodez.co.za/postalcode/gp/city-of-tshwane/mamelodi/khutsong-uit-2;Location: Khutsong Uit 2;122;-------;Mamelodi;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Theresapark;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/theresapark;Theresapark Uit 14;http://theresapark-uit-14.postalcodez.co.za/postalcode/gp/city-of-tshwane/theresapark/theresapark-uit-14;Location: Theresapark Uit 14;182;-------;Theresapark;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Karenpark;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/karenpark;Clarina Ext 6;http://clarina-ext-6.postalcodez.co.za/postalcode/gp/city-of-tshwane/karenpark/clarina-ext-6;Location: Clarina Ext 6;182;-------;Karenpark;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Mabopane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/mabopane;Winterveldt;http://winterveldt.postalcodez.co.za/postalcode/gp/city-of-tshwane/mabopane/winterveldt;Location: Winterveldt;198;198;Mabopane;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Soshanguve;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/soshanguve;Soshanguve Blok Bb;http://soshanguve-blok-bb.postalcodez.co.za/postalcode/gp/city-of-tshwane/soshanguve/soshanguve-blok-bb;Location: Soshanguve Blok Bb;152;-------;Soshanguve;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Faerie Glen;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/faerie-glen;Faerie Glen Ext 70;http://faerie-glen-ext-70.postalcodez.co.za/postalcode/gp/city-of-tshwane/faerie-glen/faerie-glen-ext-70;Location: Faerie Glen Ext 70;81;43;Faerie Glen;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Ga-Rankuwa;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/ga-rankuwa;Ga-Rankuwa Zone 4;http://ga-rankuwa-zone-4.postalcodez.co.za/postalcode/gp/city-of-tshwane/ga-rankuwa/ga-rankuwa-zone-4;Location: Ga-Rankuwa Zone 4;208;-------;Ga-Rankuwa;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria;Gevangenisterrein;http://gevangenisterrein.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria/gevangenisterrein;Location: Gevangenisterrein;2;-------;Pretoria;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Mabopane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/mabopane;Ga Tsebe;http://ga-tsebe.postalcodez.co.za/postalcode/gp/city-of-tshwane/mabopane/ga-tsebe;Location: Ga Tsebe;-------;213;Mabopane;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Pretoria North;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/pretoria-north;Sinoville Ext 6;http://sinoville-ext-6.postalcodez.co.za/postalcode/gp/city-of-tshwane/pretoria-north/sinoville-ext-6;Location: Sinoville Ext 6;182;-------;Pretoria North;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Mamelodi;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/mamelodi;Mamelodi Tuine Uit 2;http://mamelodi-tuine-uit-2.postalcodez.co.za/postalcode/gp/city-of-tshwane/mamelodi/mamelodi-tuine-uit-2;Location: Mamelodi Tuine Uit 2;122;-------;Mamelodi;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Wierdapark;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/wierdapark;Celtisdal Uit 25;http://celtisdal-uit-25.postalcodez.co.za/postalcode/gp/city-of-tshwane/wierdapark/celtisdal-uit-25;Location: Celtisdal Uit 25;157;149;Wierdapark;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Menlo Park;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/menlo-park;Lynnwood Manor Ext 2;http://lynnwood-manor-ext-2.postalcodez.co.za/postalcode/gp/city-of-tshwane/menlo-park/lynnwood-manor-ext-2;Location: Lynnwood Manor Ext 2;81;-------;Menlo Park;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;The Reeds;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/the-reeds;The Reeds Ext 6;http://the-reeds-ext-6.postalcodez.co.za/postalcode/gp/city-of-tshwane/the-reeds/the-reeds-ext-6;Location: The Reeds Ext 6;157;158;The Reeds;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Johannesburg;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/johannesburg;Alexandra Ext 9;http://alexandra-ext-9.postalcodez.co.za/postalcode/gp/city-of-tshwane/johannesburg/alexandra-ext-9;Location: Alexandra Ext 9;2090;2077;Johannesburg;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Tembisa;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/tembisa;Winnie Mandela Zone 10;http://winnie-mandela-zone-10.postalcodez.co.za/postalcode/gp/city-of-tshwane/tembisa/winnie-mandela-zone-10;Location: Winnie Mandela Zone 10;1638;-------;Tembisa;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Tembisa;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/tembisa;Kaalfontein Uit 16;http://kaalfontein-uit-16.postalcodez.co.za/postalcode/gp/city-of-tshwane/tembisa/kaalfontein-uit-16;Location: Kaalfontein Uit 16;1632;-------;Tembisa;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Tembisa;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/tembisa;Umthambeka Uit 1;http://umthambeka-uit-1.postalcodez.co.za/postalcode/gp/city-of-tshwane/tembisa/umthambeka-uit-1;Location: Umthambeka Uit 1;1632;-------;Tembisa;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
Johannesburg;2001;2000;City of Tshwane;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane;Mamelodi;http://postalcodez.co.za/postalcodes/gp/city-of-tshwane/mamelodi;Mamelodi Gardens Ext 1;http://mamelodi-gardens-ext-1.postalcodez.co.za/postalcode/gp/city-of-tshwane/mamelodi/mamelodi-gardens-ext-1;Location: Mamelodi Gardens Ext 1;122;-------;Mamelodi;City of Tshwane;Gauteng;GP Capital City:Johannesburg;South Africa
