cc_capital-city,cc_street-code,cc_Box-Code,area,area-href,area_list,area_list-href,suburblist,suburblist-href,s_location,s_streetcode,s_boxcode,s_area,s_municipality,s_province,s_capitalcity,s_country
"Pietermaritzburg","3201","3200","Umkhanyakude","http://postalcodez.co.za/postalcodes/zn/umkhanyakude","Port Shepstone","http://postalcodez.co.za/postalcodes/zn/umkhanyakude/port-shepstone","Lahlangubo","http://lahlangubo.postalcodez.co.za/postalcode/zn/umkhanyakude/port-shepstone/lahlangubo","Location: Lahlangubo","-------","4785","Port Shepstone","Umkhanyakude","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umgungundlovu","http://postalcodez.co.za/postalcodes/zn/umgungundlovu","Winterskloof","http://postalcodez.co.za/postalcodes/zn/umgungundlovu/winterskloof","Winterskloof","http://winterskloof.postalcodez.co.za/postalcode/zn/umgungundlovu/winterskloof/winterskloof","Location: Winterskloof","3201","-------","Winterskloof","Umgungundlovu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Ugu","http://postalcodez.co.za/postalcodes/zn/ugu","Port Shepstone","http://postalcodez.co.za/postalcodes/zn/ugu/port-shepstone","Crescent Street","http://crescent-street.postalcodez.co.za/postalcode/zn/ugu/port-shepstone/crescent-street","Location: Crescent Street","-------","4240","Port Shepstone","Ugu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Tongaat","http://postalcodez.co.za/postalcodes/zn/ethekwini/tongaat","Belvedere","http://belvedere.postalcodez.co.za/postalcode/zn/ethekwini/tongaat/belvedere","Location: Belvedere","4399","-------","Tongaat","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Marble Ray","http://postalcodez.co.za/postalcodes/zn/ethekwini/marble-ray","Valencia Gardens","http://valencia-gardens.postalcodez.co.za/postalcode/zn/ethekwini/marble-ray/valencia-gardens","Location: Valencia Gardens","4037","-------","Marble Ray","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","iLembe","http://postalcodez.co.za/postalcodes/zn/ilembe","Umhlali","http://postalcodez.co.za/postalcodes/zn/ilembe/umhlali","Salt Rock","http://salt-rock.postalcodez.co.za/postalcode/zn/ilembe/umhlali/salt-rock","Location: Salt Rock","4392","4391","Umhlali","iLembe","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Amanzimtoti","http://postalcodez.co.za/postalcodes/zn/ethekwini/amanzimtoti","Sunny Park","http://sunny-park.postalcodez.co.za/postalcode/zn/ethekwini/amanzimtoti/sunny-park","Location: Sunny Park","4126","-------","Amanzimtoti","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Uthukela","http://postalcodez.co.za/postalcodes/zn/uthukela","Emmaus","http://postalcodez.co.za/postalcodes/zn/uthukela/emmaus","Emmaus","http://emmaus.postalcodez.co.za/postalcode/zn/uthukela/emmaus/emmaus","Location: Emmaus","-------","3343","Emmaus","Uthukela","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umgungundlovu","http://postalcodez.co.za/postalcodes/zn/umgungundlovu","Pietermaritzburg","http://postalcodez.co.za/postalcodes/zn/umgungundlovu/pietermaritzburg","Receiver of Revenue","http://receiver-of-revenue.postalcodez.co.za/postalcode/zn/umgungundlovu/pietermaritzburg/receiver-of-revenue","Location: Receiver of Revenue","-------","3295","Pietermaritzburg","Umgungundlovu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umgungundlovu","http://postalcodez.co.za/postalcodes/zn/umgungundlovu","Pietermaritzburg","http://postalcodez.co.za/postalcodes/zn/umgungundlovu/pietermaritzburg","Epworth","http://epworth.postalcodez.co.za/postalcode/zn/umgungundlovu/pietermaritzburg/epworth","Location: Epworth","3201","-------","Pietermaritzburg","Umgungundlovu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Inanda","http://postalcodez.co.za/postalcodes/zn/ethekwini/inanda","Soweto","http://soweto.postalcodez.co.za/postalcode/zn/ethekwini/inanda/soweto","Location: Soweto","4309","-------","Inanda","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umgungundlovu","http://postalcodez.co.za/postalcodes/zn/umgungundlovu","Pietermaritzburg","http://postalcodez.co.za/postalcodes/zn/umgungundlovu/pietermaritzburg","Natal Witness","http://natal-witness.postalcodez.co.za/postalcode/zn/umgungundlovu/pietermaritzburg/natal-witness","Location: Natal Witness","-------","3293","Pietermaritzburg","Umgungundlovu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Ugu","http://postalcodez.co.za/postalcodes/zn/ugu","Munster","http://postalcodez.co.za/postalcodes/zn/ugu/munster","Kwanzimakwe","http://kwanzimakwe.postalcodez.co.za/postalcode/zn/ugu/munster/kwanzimakwe","Location: Kwanzimakwe","-------","4278","Munster","Ugu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Hillcrest","http://postalcodez.co.za/postalcodes/zn/ethekwini/hillcrest","Salem","http://salem.postalcodez.co.za/postalcode/zn/ethekwini/hillcrest/salem","Location: Salem","-------","3650","Hillcrest","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Umlazi","http://postalcodez.co.za/postalcodes/zn/ethekwini/umlazi","Umlazi Gx4","http://umlazi-gx4.postalcodez.co.za/postalcode/zn/ethekwini/umlazi/umlazi-gx4","Location: Umlazi Gx4","-------","4031","Umlazi","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
