cc_capital-city,cc_street-code,cc_Box-Code,area,area-href,area_list,area_list-href,suburblist,suburblist-href,s_location,s_streetcode,s_boxcode,s_area,s_municipality,s_province,s_capitalcity,s_country
"Polokwane","0699","0700","Capricorn","http://postalcodez.co.za/postalcodes/lp/capricorn","Louis Trichardt","http://postalcodez.co.za/postalcodes/lp/capricorn/louis-trichardt","Alldays","http://alldays.postalcodez.co.za/postalcode/lp/capricorn/louis-trichardt/alldays","Location: Alldays","0909","0909","Louis Trichardt","Capricorn","Limpopo","LP Capital City:Polokwane","South Africa"
"Polokwane","0699","0700","Vhembe","http://postalcodez.co.za/postalcodes/lp/vhembe","Polokwane","http://postalcodez.co.za/postalcodes/lp/vhembe/polokwane","Seshego Ext 73","http://seshego-ext-73.postalcodez.co.za/postalcode/lp/vhembe/polokwane/seshego-ext-73","Location: Seshego Ext 73","0699","0795","Polokwane","Vhembe","Limpopo","LP Capital City:Polokwane","South Africa"
"Polokwane","0699","0700","Vhembe","http://postalcodez.co.za/postalcodes/lp/vhembe","Giyani","http://postalcodez.co.za/postalcodes/lp/vhembe/giyani","Tshaulu","http://tshaulu.postalcodez.co.za/postalcode/lp/vhembe/giyani/tshaulu","Location: Tshaulu","0987","0987","Giyani","Vhembe","Limpopo","LP Capital City:Polokwane","South Africa"
"Polokwane","0699","0700","Capricorn","http://postalcodez.co.za/postalcodes/lp/capricorn","Polokwane","http://postalcodez.co.za/postalcodes/lp/capricorn/polokwane","Medingen Village","http://medingen-village.postalcodez.co.za/postalcode/lp/capricorn/polokwane/medingen-village","Location: Medingen Village","0880","-------","Polokwane","Capricorn","Limpopo","LP Capital City:Polokwane","South Africa"
"Polokwane","0699","0700","Vhembe","http://postalcodez.co.za/postalcodes/lp/vhembe","Thohoyandou","http://postalcodez.co.za/postalcodes/lp/vhembe/thohoyandou","Thohoyandou Blok G","http://thohoyandou-blok-g.postalcodez.co.za/postalcode/lp/vhembe/thohoyandou/thohoyandou-blok-g","Location: Thohoyandou Blok G","0950","0950","Thohoyandou","Vhembe","Limpopo","LP Capital City:Polokwane","South Africa"
"Polokwane","0699","0700","Capricorn","http://postalcodez.co.za/postalcodes/lp/capricorn","Polokwane","http://postalcodez.co.za/postalcodes/lp/capricorn/polokwane","Ladanna","http://ladanna.postalcodez.co.za/postalcode/lp/capricorn/polokwane/ladanna","Location: Ladanna","0699","0704","Polokwane","Capricorn","Limpopo","LP Capital City:Polokwane","South Africa"
"Polokwane","0699","0700","Capricorn","http://postalcodez.co.za/postalcodes/lp/capricorn","Polokwane","http://postalcodez.co.za/postalcodes/lp/capricorn/polokwane","My Darling","http://my-darling.postalcodez.co.za/postalcode/lp/capricorn/polokwane/my-darling","Location: My Darling","-------","0791","Polokwane","Capricorn","Limpopo","LP Capital City:Polokwane","South Africa"
"Polokwane","0699","0700","Waterberg","http://postalcodez.co.za/postalcodes/lp/waterberg","Potgietersrus","http://postalcodez.co.za/postalcodes/lp/waterberg/potgietersrus","Seleka","http://seleka.postalcodez.co.za/postalcode/lp/waterberg/potgietersrus/seleka","Location: Seleka","-------","0609","Potgietersrus","Waterberg","Limpopo","LP Capital City:Polokwane","South Africa"
"Polokwane","0699","0700","Mopani","http://postalcodez.co.za/postalcodes/lp/mopani","Tzaneen","http://postalcodez.co.za/postalcodes/lp/mopani/tzaneen","Julesburg","http://julesburg.postalcodez.co.za/postalcode/lp/mopani/tzaneen/julesburg","Location: Julesburg","-------","0875","Tzaneen","Mopani","Limpopo","LP Capital City:Polokwane","South Africa"
"Polokwane","0699","0700","Sekhukhune","http://postalcodez.co.za/postalcodes/lp/sekhukhune","Marble Hall","http://postalcodez.co.za/postalcodes/lp/sekhukhune/marble-hall","Mbibane","http://mbibane.postalcodez.co.za/postalcode/lp/sekhukhune/marble-hall/mbibane","Location: Mbibane","0449","0449","Marble Hall","Sekhukhune","Limpopo","LP Capital City:Polokwane","South Africa"
"Polokwane","0699","0700","Waterberg","http://postalcodez.co.za/postalcodes/lp/waterberg","Potgietersrus","http://postalcodez.co.za/postalcodes/lp/waterberg/potgietersrus","Chroom Park","http://chroom-park.postalcodez.co.za/postalcode/lp/waterberg/potgietersrus/chroom-park","Location: Chroom Park","0601","0656","Potgietersrus","Waterberg","Limpopo","LP Capital City:Polokwane","South Africa"
"Polokwane","0699","0700","Capricorn","http://postalcodez.co.za/postalcodes/lp/capricorn","Polokwane","http://postalcodez.co.za/postalcodes/lp/capricorn/polokwane","Dwarsrivier","http://dwarsrivier.postalcodez.co.za/postalcode/lp/capricorn/polokwane/dwarsrivier","Location: Dwarsrivier","0812","0812","Polokwane","Capricorn","Limpopo","LP Capital City:Polokwane","South Africa"
"Polokwane","0699","0700","Sekhukhune","http://postalcodez.co.za/postalcodes/lp/sekhukhune","Groblersdal","http://postalcodez.co.za/postalcodes/lp/sekhukhune/groblersdal","Dennilton","http://dennilton.postalcodez.co.za/postalcode/lp/sekhukhune/groblersdal/dennilton","Location: Dennilton","1030","1030","Groblersdal","Sekhukhune","Limpopo","LP Capital City:Polokwane","South Africa"
"Polokwane","0699","0700","Mopani","http://postalcodez.co.za/postalcodes/lp/mopani","Tzaneen","http://postalcodez.co.za/postalcodes/lp/mopani/tzaneen","Florapark","http://florapark.postalcodez.co.za/postalcode/lp/mopani/tzaneen/florapark","Location: Florapark","0850","0850","Tzaneen","Mopani","Limpopo","LP Capital City:Polokwane","South Africa"
"Polokwane","0699","0700","Waterberg","http://postalcodez.co.za/postalcodes/lp/waterberg","Thabazimbi","http://postalcodez.co.za/postalcodes/lp/waterberg/thabazimbi","Sentrum","http://sentrum.postalcodez.co.za/postalcode/lp/waterberg/thabazimbi/sentrum","Location: Sentrum","-------","0385","Thabazimbi","Waterberg","Limpopo","LP Capital City:Polokwane","South Africa"
