province;province-href;cc_capital-city;cc_street-code;cc_Box-Code;area;area-href;area_list;area_list-href;suburblist;suburblist-href;s_location;s_streetcode;s_boxcode;s_area;s_municipality;s_province;s_capitalcity;s_country
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;De Aar;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/de-aar;Solheim;http://solheim.postalcodez.co.za/postalcode/nc/pixley-ka-seme/de-aar/solheim;Location: Solheim;7000;-------;De Aar;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Upington;http://postalcodez.co.za/postalcodes/nc/siyanda/upington;Gemsbokpark;http://gemsbokpark.postalcodez.co.za/postalcode/nc/siyanda/upington/gemsbokpark;Location: Gemsbokpark;-------;8815;Upington;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Kimberley;http://postalcodez.co.za/postalcodes/nc/frances-baard/kimberley;Belgravia;http://belgravia.postalcodez.co.za/postalcode/nc/frances-baard/kimberley/belgravia;Location: Belgravia;8301;-------;Kimberley;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Namakwa;http://postalcodez.co.za/postalcodes/nc/namakwa;Calvinia;http://postalcodez.co.za/postalcodes/nc/namakwa/calvinia;Calvinia;http://calvinia.postalcodez.co.za/postalcode/nc/namakwa/calvinia/calvinia;Location: Calvinia;8190;8190;Calvinia;Namakwa;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Kimberley;http://postalcodez.co.za/postalcodes/nc/frances-baard/kimberley;Verwoerdpark Khw;http://verwoerdpark-khw.postalcodez.co.za/postalcode/nc/frances-baard/kimberley/verwoerdpark-khw;Location: Verwoerdpark Khw;8301;-------;Kimberley;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Mankurwane;http://postalcodez.co.za/postalcodes/nc/frances-baard/mankurwane;Minerwa Gardens;http://minerwa-gardens.postalcodez.co.za/postalcode/nc/frances-baard/mankurwane/minerwa-gardens;Location: Minerwa Gardens;8345;-------;Mankurwane;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;Prieska;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/prieska;Prieska Uit 10;http://prieska-uit-10.postalcodez.co.za/postalcode/nc/pixley-ka-seme/prieska/prieska-uit-10;Location: Prieska Uit 10;8940;-------;Prieska;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Upington;http://postalcodez.co.za/postalcodes/nc/siyanda/upington;Oosterville;http://oosterville.postalcodez.co.za/postalcode/nc/siyanda/upington/oosterville;Location: Oosterville;8801;-------;Upington;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Barkly West;http://postalcodez.co.za/postalcodes/nc/frances-baard/barkly-west;Barkly-Wes;http://barkly-wes.postalcodez.co.za/postalcode/nc/frances-baard/barkly-west/barkly-wes;Location: Barkly-Wes;8375;8375;Barkly West;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Upington;http://postalcodez.co.za/postalcodes/nc/siyanda/upington;Flora Park;http://flora-park.postalcodez.co.za/postalcode/nc/siyanda/upington/flora-park;Location: Flora Park;8801;-------;Upington;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Namakwa;http://postalcodez.co.za/postalcodes/nc/namakwa;Loeriesfontein;http://postalcodez.co.za/postalcodes/nc/namakwa/loeriesfontein;Skema;http://skema.postalcodez.co.za/postalcode/nc/namakwa/loeriesfontein/skema;Location: Skema;-------;8185;Loeriesfontein;Namakwa;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;Prieska;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/prieska;Prieska;http://prieska.postalcodez.co.za/postalcode/nc/pixley-ka-seme/prieska/prieska;Location: Prieska;8940;8940;Prieska;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Namakwa;http://postalcodez.co.za/postalcodes/nc/namakwa;Springbok;http://postalcodez.co.za/postalcodes/nc/namakwa/springbok;Vaalwater;http://vaalwater.postalcodez.co.za/postalcode/nc/namakwa/springbok/vaalwater;Location: Vaalwater;-------;8240;Springbok;Namakwa;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Kimberley;http://postalcodez.co.za/postalcodes/nc/frances-baard/kimberley;Colville Uit 16;http://colville-uit-16.postalcodez.co.za/postalcode/nc/frances-baard/kimberley/colville-uit-16;Location: Colville Uit 16;8301;-------;Kimberley;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Galeshewe;http://postalcodez.co.za/postalcodes/nc/frances-baard/galeshewe;Kimberley TSP;http://kimberley-tsp.postalcodez.co.za/postalcode/nc/frances-baard/galeshewe/kimberley-tsp;Location: Kimberley TSP;8330;-------;Galeshewe;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;De Aar;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/de-aar;De Aar Uit 21;http://de-aar-uit-21.postalcodez.co.za/postalcode/nc/pixley-ka-seme/de-aar/de-aar-uit-21;Location: De Aar Uit 21;7000;-------;De Aar;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;De Aar;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/de-aar;Happy Valley;http://happy-valley.postalcodez.co.za/postalcode/nc/pixley-ka-seme/de-aar/happy-valley;Location: Happy Valley;7000;-------;De Aar;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Namakwa;http://postalcodez.co.za/postalcodes/nc/namakwa;Pella;http://postalcodez.co.za/postalcodes/nc/namakwa/pella;Pella;http://pella.postalcodez.co.za/postalcode/nc/namakwa/pella/pella;Location: Pella;8891;8891;Pella;Namakwa;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;De Aar;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/de-aar;De Aar West;http://de-aar-west.postalcodez.co.za/postalcode/nc/pixley-ka-seme/de-aar/de-aar-west;Location: De Aar West;-------;7000;De Aar;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
