province;province-href;cc_capital-city;cc_street-code;cc_Box-Code;area;area-href;area_list;area_list-href;suburblist;suburblist-href;s_location;s_streetcode;s_boxcode;s_area;s_municipality;s_province;s_capitalcity;s_country
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Boitekong;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/boitekong;Boitekong Ext 23;http://boitekong-ext-23.postalcodez.co.za/postalcode/nw/bojanala-platinum/boitekong/boitekong-ext-23;Location: Boitekong Ext 23;309;308;Boitekong;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Leeudoringstad;http://postalcodez.co.za/postalcodes/nw/southern/leeudoringstad;Leeudoringstad;http://leeudoringstad.postalcodez.co.za/postalcode/nw/southern/leeudoringstad/leeudoringstad;Location: Leeudoringstad;2640;2640;Leeudoringstad;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Brits;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/brits;Mamogalieskraal;http://mamogalieskraal.postalcodez.co.za/postalcode/nw/bojanala-platinum/brits/mamogalieskraal;Location: Mamogalieskraal;-------;265;Brits;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Potchefstroom;http://postalcodez.co.za/postalcodes/nw/southern/potchefstroom;Baillie Park Ext 27;http://baillie-park-ext-27.postalcodez.co.za/postalcode/nw/southern/potchefstroom/baillie-park-ext-27;Location: Baillie Park Ext 27;2531;2531;Potchefstroom;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Klerksdorp;http://postalcodez.co.za/postalcodes/nw/southern/klerksdorp;Roosheuwel;http://roosheuwel.postalcodez.co.za/postalcode/nw/southern/klerksdorp/roosheuwel;Location: Roosheuwel;2571;-------;Klerksdorp;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Rustenburg;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/rustenburg;Samela Section;http://samela-section.postalcodez.co.za/postalcode/nw/bojanala-platinum/rustenburg/samela-section;Location: Samela Section;335;335;Rustenburg;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Brits;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/brits;Letlhabile Blok E;http://letlhabile-blok-e.postalcodez.co.za/postalcode/nw/bojanala-platinum/brits/letlhabile-blok-e;Location: Letlhabile Blok E;264;264;Brits;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Klerksdorp;http://postalcodez.co.za/postalcodes/nw/southern/klerksdorp;Dominionville;http://dominionville.postalcodez.co.za/postalcode/nw/southern/klerksdorp/dominionville;Location: Dominionville;-------;2578;Klerksdorp;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Rustenburg;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/rustenburg;Cashan Uit 6;http://cashan-uit-6.postalcodez.co.za/postalcode/nw/bojanala-platinum/rustenburg/cashan-uit-6;Location: Cashan Uit 6;299;-------;Rustenburg;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Lefaragatle;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/lefaragatle;Lefaragatle;http://lefaragatle.postalcodez.co.za/postalcode/nw/bojanala-platinum/lefaragatle/lefaragatle;Location: Lefaragatle;-------;309;Lefaragatle;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Rustenburg;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/rustenburg;Sunrisepark Uit 11;http://sunrisepark-uit-11.postalcodez.co.za/postalcode/nw/bojanala-platinum/rustenburg/sunrisepark-uit-11;Location: Sunrisepark Uit 11;309;309;Rustenburg;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Rustenburg;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/rustenburg;Safari Gardens Ext 14;http://safari-gardens-ext-14.postalcodez.co.za/postalcode/nw/bojanala-platinum/rustenburg/safari-gardens-ext-14;Location: Safari Gardens Ext 14;299;-------;Rustenburg;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Central;http://postalcodez.co.za/postalcodes/nw/central;Mafikeng;http://postalcodez.co.za/postalcodes/nw/central/mafikeng;Golf View;http://golf-view.postalcodez.co.za/postalcode/nw/central/mafikeng/golf-view;Location: Golf View;2745;-------;Mafikeng;Central;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Jouberton;http://postalcodez.co.za/postalcodes/nw/southern/jouberton;Jouberton Uit 13;http://jouberton-uit-13.postalcodez.co.za/postalcode/nw/southern/jouberton/jouberton-uit-13;Location: Jouberton Uit 13;2574;-------;Jouberton;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Rustenburg;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/rustenburg;Entabeni;http://entabeni.postalcodez.co.za/postalcode/nw/bojanala-platinum/rustenburg/entabeni;Location: Entabeni;-------;307;Rustenburg;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Central;http://postalcodez.co.za/postalcodes/nw/central;Lerato;http://postalcodez.co.za/postalcodes/nw/central/lerato;Lobatla;http://lobatla.postalcodez.co.za/postalcode/nw/central/lerato/lobatla;Location: Lobatla;-------;2873;Lerato;Central;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Wolmaransstad;http://postalcodez.co.za/postalcodes/nw/southern/wolmaransstad;Tswelelang Ext 5;http://tswelelang-ext-5.postalcodez.co.za/postalcode/nw/southern/wolmaransstad/tswelelang-ext-5;Location: Tswelelang Ext 5;2630;-------;Wolmaransstad;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Temba;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/temba;Dertig;http://dertig.postalcodez.co.za/postalcode/nw/bojanala-platinum/temba/dertig;Location: Dertig;-------;441;Temba;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Fochville;http://postalcodez.co.za/postalcodes/nw/southern/fochville;Kokosi Ext 1;http://kokosi-ext-1.postalcodez.co.za/postalcode/nw/southern/fochville/kokosi-ext-1;Location: Kokosi Ext 1;2515;2515;Fochville;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Rustenburg;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/rustenburg;Syferbult;http://syferbult.postalcodez.co.za/postalcode/nw/bojanala-platinum/rustenburg/syferbult;Location: Syferbult;-------;332;Rustenburg;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Rustenburg;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/rustenburg;Safari Gardens Ext 4;http://safari-gardens-ext-4.postalcodez.co.za/postalcode/nw/bojanala-platinum/rustenburg/safari-gardens-ext-4;Location: Safari Gardens Ext 14;299;-------;Rustenburg;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Carletonville;http://postalcodez.co.za/postalcodes/nw/southern/carletonville;Khutsong Sotho Seksie;http://khutsong-sotho-seksie.postalcodez.co.za/postalcode/nw/southern/carletonville/khutsong-sotho-seksie;Location: Khutsong Sotho Seksie;2499;-------;Carletonville;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Temba;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/temba;Sutelong;http://sutelong.postalcodez.co.za/postalcode/nw/bojanala-platinum/temba/sutelong;Location: Sutelong;-------;507;Temba;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Fochville;http://postalcodez.co.za/postalcodes/nw/southern/fochville;Kokosi Ext 2;http://kokosi-ext-2.postalcodez.co.za/postalcode/nw/southern/fochville/kokosi-ext-2;Location: Kokosi Ext 2;2515;2515;Fochville;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Potchefstroom;http://postalcodez.co.za/postalcodes/nw/southern/potchefstroom;Flamwood Walk;http://flamwood-walk.postalcodez.co.za/postalcode/nw/southern/potchefstroom/flamwood-walk;Location: Flamwood Walk;-------;2535;Potchefstroom;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bophirima;http://postalcodez.co.za/postalcodes/nw/bophirima;Vryburg;http://postalcodez.co.za/postalcodes/nw/bophirima/vryburg;Vorstershoop;http://vorstershoop.postalcodez.co.za/postalcode/nw/bophirima/vryburg/vorstershoop;Location: Vorstershoop;8615;8615;Vryburg;Bophirima;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Letlhabile;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/letlhabile;Letlhabile;http://letlhabile.postalcodez.co.za/postalcode/nw/bojanala-platinum/letlhabile/letlhabile;Location: Letlhabile;-------;264;Letlhabile;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
