province;province-href;cc_capital-city;cc_street-code;cc_Box-Code;area;area-href;area_list;area_list-href;suburblist;suburblist-href;s_location;s_streetcode;s_boxcode;s_area;s_municipality;s_province;s_capitalcity;s_country
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;Cape Winelands;http://postalcodez.co.za/postalcodes/wc/cape-winelands;Worcester;http://postalcodez.co.za/postalcodes/wc/cape-winelands/worcester;Langerug;http://langerug.postalcodez.co.za/postalcode/wc/cape-winelands/worcester/langerug;Location: Langerug;6850;-------;Worcester;Cape Winelands;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;City of Cape Town;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town;Kuils River;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town/kuils-river;Nieuw Nooiensfontein;http://nieuw-nooiensfontein.postalcodez.co.za/postalcode/wc/city-of-cape-town/kuils-river/nieuw-nooiensfontein;Location: Nieuw Nooiensfontein;7580;-------;Kuils River;City of Cape Town;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;Eden;http://postalcodez.co.za/postalcodes/wc/eden;George;http://postalcodez.co.za/postalcodes/wc/eden/george;Eastern Extension;http://eastern-extension.postalcodez.co.za/postalcode/wc/eden/george/eastern-extension;Location: Eastern Extension;6529;-------;George;Eden;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;Cape Winelands;http://postalcodez.co.za/postalcodes/wc/cape-winelands;Worcester;http://postalcodez.co.za/postalcodes/wc/cape-winelands/worcester;Goudini Road;http://goudini-road.postalcodez.co.za/postalcode/wc/cape-winelands/worcester/goudini-road;Location: Goudini Road;-------;6856;Worcester;Cape Winelands;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;City of Cape Town;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town;Kraaifontein;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town/kraaifontein;Summerville;http://summerville.postalcodez.co.za/postalcode/wc/city-of-cape-town/kraaifontein/summerville;Location: Summerville;7570;-------;Kraaifontein;City of Cape Town;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;City of Cape Town;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town;Belhar;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town/belhar;Belhar Uit 15;http://belhar-uit-15.postalcodez.co.za/postalcode/wc/city-of-cape-town/belhar/belhar-uit-15;Location: Belhar Uit 15;7493;-------;Belhar;City of Cape Town;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;City of Cape Town;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town;Eerste River;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town/eerste-river;Hamilton Est;http://hamilton-est.postalcodez.co.za/postalcode/wc/city-of-cape-town/eerste-river/hamilton-est;Location: Hamilton Est;7100;-------;Eerste River;City of Cape Town;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;Eden;http://postalcodez.co.za/postalcodes/wc/eden;Great Brak River;http://postalcodez.co.za/postalcodes/wc/eden/great-brak-river;The Island;http://the-island.postalcodez.co.za/postalcode/wc/eden/great-brak-river/the-island;Location: The Island;6525;-------;Great Brak River;Eden;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;City of Cape Town;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town;Cape Town;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town/cape-town;Table Bay Harbour;http://table-bay-harbour.postalcodez.co.za/postalcode/wc/city-of-cape-town/cape-town/table-bay-harbour;Location: Table Bay Harbour;8001;-------;Cape Town;City of Cape Town;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;City of Cape Town;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town;Durbanville;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town/durbanville;Stellenryk;http://stellenryk.postalcodez.co.za/postalcode/wc/city-of-cape-town/durbanville/stellenryk;Location: Stellenryk;7550;-------;Durbanville;City of Cape Town;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;City of Cape Town;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town;Maitland;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town/maitland;Howard Hamlet;http://howard-hamlet.postalcodez.co.za/postalcode/wc/city-of-cape-town/maitland/howard-hamlet;Location: Howard Hamlet;-------;7405;Maitland;City of Cape Town;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;West Coast;http://postalcodez.co.za/postalcodes/wc/west-coast;Piketberg;http://postalcodez.co.za/postalcodes/wc/west-coast/piketberg;Het Kruis;http://het-kruis.postalcodez.co.za/postalcode/wc/west-coast/piketberg/het-kruis;Location: Het Kruis;-------;8100;Piketberg;West Coast;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;City of Cape Town;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town;Strand;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town/strand;Suideinde;http://suideinde.postalcodez.co.za/postalcode/wc/city-of-cape-town/strand/suideinde;Location: Suideinde;7140;-------;Strand;City of Cape Town;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;Eden;http://postalcodez.co.za/postalcodes/wc/eden;George;http://postalcodez.co.za/postalcodes/wc/eden/george;Borchards;http://borchards.postalcodez.co.za/postalcode/wc/eden/george/borchards;Location: Borchards;6529;-------;George;Eden;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;City of Cape Town;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town;Somerset West;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town/somerset-west;Belle Glen;http://belle-glen.postalcodez.co.za/postalcode/wc/city-of-cape-town/somerset-west/belle-glen;Location: Belle Glen;7130;-------;Somerset West;City of Cape Town;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;Eden;http://postalcodez.co.za/postalcodes/wc/eden;Mossel Bay;http://postalcodez.co.za/postalcodes/wc/eden/mossel-bay;Heide Villa;http://heide-villa.postalcodez.co.za/postalcode/wc/eden/mossel-bay/heide-villa;Location: Heide Villa;6506;-------;Mossel Bay;Eden;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;City of Cape Town;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town;Parow;http://postalcodez.co.za/postalcodes/wc/city-of-cape-town/parow;Kleinbosch;http://kleinbosch.postalcodez.co.za/postalcode/wc/city-of-cape-town/parow/kleinbosch;Location: Kleinbosch;7500;-------;Parow;City of Cape Town;Western Cape;WC Capital City:Cape Town;South Africa
Western Cape;http://postalcodez.co.za/postalcodes/wc;Cape Town;8001;8000;Cape Winelands;http://postalcodez.co.za/postalcodes/wc/cape-winelands;Milnerton;http://postalcodez.co.za/postalcodes/wc/cape-winelands/milnerton;Joe Slovopark;http://joe-slovopark.postalcodez.co.za/postalcode/wc/cape-winelands/milnerton/joe-slovopark;Location: Joe Slovopark;7441;-------;Milnerton;Cape Winelands;Western Cape;WC Capital City:Cape Town;South Africa
